source_id,JkcStd_mag_U,JkcStd_mag_B,JkcStd_mag_V,JkcStd_mag_R,JkcStd_mag_I,JkcStd_flux_U,JkcStd_flux_B,JkcStd_flux_V,JkcStd_flux_R,JkcStd_flux_I,JkcStd_flux_error_U,JkcStd_flux_error_B,JkcStd_flux_error_V,JkcStd_flux_error_R,JkcStd_flux_error_I
2428041842467650176,13.980680842361425,13.825133863620177,13.166706988572063,12.793242374633163,12.43388297536669,1.1699509733074462e-16,1.9122578593956965e-16,1.9901105617896134e-16,1.7060158045010146e-16,1.253045409621153e-16,2.11821428906398e-18,6.925887756224513e-19,4.720127362645585e-19,3.305959811473396e-19,1.6840611250494617e-19
2425043680416800640,13.732252941944413,13.773457578994371,13.211464677595028,12.878042590160359,12.545038953573961,1.4707498854092482e-16,2.0054736881427676e-16,1.9097394914873135e-16,1.5778400080782432e-16,1.1311088973290761e-16,2.2374050233024022e-18,7.262658700230728e-19,5.122355473449314e-19,3.4428494156886025e-19,1.7474948621871393e-19
2425037530023633408,14.02974819973979,14.017551581801602,13.41040527919515,13.05841904505765,12.707061071788491,1.1182546689092946e-16,1.6016933309186793e-16,1.5900027970961805e-16,1.3363258883353348e-16,9.743064357657045e-17,1.633654794917681e-18,6.056920157300733e-19,4.71842600815654e-19,3.0563989259972303e-19,1.4775814701865366e-19
2428047958501090304,14.15999155346931,14.184029756300536,13.604288583227326,13.259540533799889,12.91282406915187,9.918440185864852e-17,1.3740043177570038e-16,1.3299783356986508e-16,1.1103599444300482e-16,8.061026935717106e-17,1.4399478505032106e-18,5.737666537557955e-19,3.5549786920943897e-19,2.368830861298018e-19,1.4163589127768667e-19
2425037220785989376,14.668646827443084,14.70800370225503,14.12555894762924,13.779475310838958,13.430077956319497,6.208422569316016e-17,8.480052072693533e-17,8.228798369970087e-17,6.878438770062565e-17,5.0059766261291736e-17,1.052396976948216e-18,2.9802302188631364e-19,2.2327572809356935e-19,1.6211138778586768e-19,7.976747717986129e-20
2425035296640614656,16.2385648068869,15.48086913283878,14.499254939961492,13.904829929348583,13.354536180759364,1.4622245703162674e-17,4.16152345630982e-17,5.832544003662305e-17,6.128413043771397e-17,5.3666778670535896e-17,6.371840189807066e-19,2.1268111070863979e-19,1.7475324264854894e-19,1.503905132428952e-19,7.944609815708156e-20
2428047614903706368,17.010035847681763,16.228953851302382,15.181882198070934,14.532525306884128,13.954252483680687,7.18498161057481e-18,2.0893849372732132e-17,3.1103346658821794e-17,3.437715064209076e-17,3.0890078113477996e-17,3.9236676618538736e-19,1.3698140537825302e-19,1.1099688959484687e-19,8.381752192312406e-20,5.71610461437528e-20
2425037426944438656,16.288652680894497,15.99063846232401,15.22504859252697,14.79868805658818,14.402003783404904,1.3963006096542855e-17,2.6022236229548198e-17,2.989100815143957e-17,2.69032518589588e-17,2.0451185438150256e-17,5.086177564201869e-19,1.534916886945617e-19,9.834012149997129e-20,6.959010313389741e-20,4.290224981901899e-20
2428038956249621760,17.53859199449725,16.478155219454568,15.438506736205188,14.820213783493546,14.312787358470462,4.415737032145861e-18,1.6608786874217376e-17,2.455598195225747e-17,2.6375122572827518e-17,2.2202662463739155e-17,4.1008589079807202e-19,1.1291710558372529e-19,8.767057559369251e-20,6.984437021544051e-20,3.9655796791084226e-20
2425044711208950400,16.227508676938296,16.24904093811544,15.668661846028993,15.31483422060229,14.962258736027895,1.477190579046893e-17,2.051084840397844e-17,1.9865306109157896e-17,1.672423693947348e-17,1.2207212524285582e-17,4.991674407508342e-19,1.2275390470990682e-19,8.646082759552874e-20,5.474710362794067e-20,3.3123968198654064e-20
